NOMBRE_PASO_PE;HORA;SOLAR;EOLICO;;;;;;
111;1;0;0.46504891;;;;;;
111;2;0;0.492506983;;;;;;
111;3;0;0.548425214;;;;;;
111;4;0;0.499073585;;;;;;
111;5;0;0.665783253;;;;;;
111;6;5.90E-07;0.67024191;;;;;;
111;7;0.033097401;0.657895682;;;;;;
111;8;0.168630787;0.620000359;;;;;;
111;9;0.439893245;0.652906619;;;;;;
111;10;0.504450025;0.639476692;;;;;;
111;11;0.778897551;0.636700772;;;;;;
111;12;0.843828623;0.661496708;;;;;;
111;13;0.833027161;0.646234016;;;;;;
111;14;0.747414892;0.581627196;;;;;;
111;15;0.618790776;0.598044886;;;;;;
111;16;0.4409785;0.585426515;;;;;;
111;17;0.14558686;0.590331873;;;;;;
111;18;0.004609243;0.604354613;;;;;;
111;19;0;0.551453519;;;;;;
111;20;0;0.540077402;;;;;;
111;21;0;0.464403939;;;;;;
111;22;0;0.429689781;;;;;;
111;23;0;0.340172527;;;;;;
112;0;0;0.290392272;;;;;;
112;1;0;0.31781249;;;;;;
112;2;0;0.326674954;;;;;;
112;3;0;0.291160375;;;;;;
112;4;0;0.26073872;;;;;;
112;5;0;0.246178002;;;;;;
112;6;1.81E-06;0.223678415;;;;;;
112;7;0.059521229;0.182772709;;;;;;
112;8;0.299890408;0.162421752;;;;;;
112;9;0.537881198;0.095226022;;;;;;
112;10;0.715712729;0.119549044;;;;;;
112;11;0.79436758;0.133655605;;;;;;
112;12;0.851388946;0.13393506;;;;;;
112;13;0.844882648;0.126816449;;;;;;
112;14;0.687970465;0.134437063;;;;;;
112;15;0.589655657;0.124363603;;;;;;
112;16;0.295461183;0.116351368;;;;;;
112;17;0.050000928;0.123381752;;;;;;
112;18;0.002216452;0.118682449;;;;;;
112;19;0;0.119737168;;;;;;
112;20;0;0.077859591;;;;;;
112;21;0;0.06655969;;;;;;
112;22;0;0.073290942;;;;;;
112;23;0;0.062270723;;;;;;
113;0;0;0.082638851;;;;;;
113;1;0;0.066203914;;;;;;
113;2;0;0.066088243;;;;;;
113;3;0;0.090956335;;;;;;
113;4;0;0.091556479;;;;;;
113;5;0;0.107040491;;;;;;
113;6;0;0.143056646;;;;;;
113;7;0.012565183;0.162428292;;;;;;
113;8;0.137504303;0.19500896;;;;;;
113;9;0.458553277;0.210424255;;;;;;
113;10;0.446891719;0.262437844;;;;;;
113;11;0.499073117;0.324237726;;;;;;
113;12;0.549449483;0.325962074;;;;;;
113;13;0.566670335;0.390935134;;;;;;
113;14;0.558133381;0.413661359;;;;;;
113;15;0.62422133;0.433018353;;;;;;
113;16;0.301614255;0.399467745;;;;;;
113;17;0.108101853;0.340250601;;;;;;
113;18;0.00401955;0.281957171;;;;;;
113;19;0;0.285545966;;;;;;
113;20;0;0.272717372;;;;;;
113;21;0;0.23612334;;;;;;
113;22;0;0.218448243;;;;;;
113;23;0;0.225086207;;;;;;
114;0;0;0.166301612;;;;;;
114;1;0;0.167426713;;;;;;
114;2;0;0.177822855;;;;;;
114;3;0;0.160733222;;;;;;
114;4;0;0.130668558;;;;;;
114;5;0;0.157193665;;;;;;
114;6;4.90E-06;0.146883781;;;;;;
114;7;0.041183623;0.164117138;;;;;;
114;8;0.321742186;0.112059442;;;;;;
114;9;0.38955883;0.074249791;;;;;;
114;10;0.435727031;0.078541224;;;;;;
